timestamp_ist,hour_of_day,day_of_week,is_peak_hour,corridor_id,corridor_name,route_status,traffic_data_status,weather_api_status,distance_km,reference_duration_min,actual_duration_min,reference_speed_kmh,actual_speed_kmh,delay_ratio,congestion_index,temperature_c,humidity_pct,weather_condition,rain_1h_mm
2026-09-01 17:10:26,17,Tuesday,1,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,17.77,25.12,21.04,1.194,0.194,30.3,61,Rain,0.27
2026-09-01 17:10:26,17,Tuesday,1,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,25.7,26.53,21.04,1.261,0.261,30.3,61,Rain,0.27
2026-09-01 17:10:26,17,Tuesday,1,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,24.5,23.88,22.97,23.57,0.975,-0.025,30.3,61,Rain,0.27
2026-09-01 18:14:22,18,Tuesday,1,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,18.7,25.12,19.99,1.257,0.257,23.36,76,Rain,0.55
2026-09-01 18:14:22,18,Tuesday,1,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,23.98,26.53,22.54,1.177,0.177,23.36,76,Rain,0.55
2026-09-01 18:14:22,18,Tuesday,1,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.22,22.27,29.28,25.27,1.159,0.159,23.36,76,Rain,0.55
2026-09-01 19:10:53,19,Tuesday,1,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,17.9,25.12,20.88,1.203,0.203,22.25,79,Rain,1.17
2026-09-01 19:10:53,19,Tuesday,1,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,22.42,26.53,24.11,1.1,0.1,22.25,79,Rain,1.17
2026-09-01 19:10:53,19,Tuesday,1,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.22,20.03,29.28,28.1,1.042,0.042,22.25,79,Rain,1.17
2026-09-01 20:16:18,20,Tuesday,0,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,15.73,25.12,23.76,1.057,0.057,22.25,81,Rain,0.7
2026-09-01 20:16:18,20,Tuesday,0,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,20.97,26.53,25.78,1.029,0.029,22.25,81,Rain,0.7
2026-09-01 20:16:18,20,Tuesday,0,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,9.38,19.22,18.6,29.28,30.26,0.968,-0.032,22.25,81,Rain,0.7
2026-09-01 21:38:23,21,Tuesday,0,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,12.25,25.12,30.51,0.823,-0.177,21.14,83,Rain,0.6
2026-09-01 21:38:23,21,Tuesday,0,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,18.67,26.53,28.96,0.916,-0.084,21.14,83,Rain,0.6
2026-09-01 21:38:23,21,Tuesday,0,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,8.45,20.87,16.62,24.29,30.51,0.796,-0.204,21.14,83,Rain,0.6
2026-09-01 22:19:28,22,Tuesday,0,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,11.82,25.12,31.62,0.794,-0.206,21.7,83,Rain,0.52
2026-09-01 22:19:28,22,Tuesday,0,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,17.48,26.53,30.93,0.858,-0.142,21.7,83,Rain,0.52
2026-09-01 22:19:28,22,Tuesday,0,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,8.45,20.87,15.43,24.29,32.86,0.739,-0.261,21.7,83,Rain,0.52
2026-09-02 06:13:54,6,Wednesday,0,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,10.28,25.12,36.36,0.691,-0.309,19.47,90,Clear,0
2026-09-02 06:13:54,6,Wednesday,0,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,13.8,26.53,39.17,0.677,-0.323,19.47,90,Clear,0
2026-09-02 06:13:54,6,Wednesday,0,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,8.45,20.87,15.58,24.29,32.54,0.747,-0.253,19.47,90,Clear,0
2026-09-02 07:15:31,7,Wednesday,0,1,Lal Chowk to Hyderpora,OK,AVAILABLE,OK,6.23,14.88,10.78,25.12,34.68,0.724,-0.276,20.59,87,Clear,0
2026-09-02 07:15:31,7,Wednesday,0,2,Dalgate to Pantha Chowk,OK,AVAILABLE,OK,9.01,20.38,14.63,26.53,36.95,0.718,-0.282,20.59,87,Clear,0
2026-09-02 07:15:31,7,Wednesday,0,3,Jahangir Chowk to Parimpora,OK,AVAILABLE,OK,8.45,20.87,14.92,24.29,33.98,0.715,-0.285,20.59,87,Clear,0
